WHORegionName,Year,Iso3,CountryTerritoryArea,Specimen,PathogenName,AntibioticName,InterpretableAST,Resistant,ResistancePercentage,SourceFile
European Region,2022,DEU,Germany,Bloodstream,Acinetobacter spp.,Imipenem,673,23,3.417533432,Resistance_to_antibiotics_in_2022_European_Region-Bloodstream.csv
European Region,2022,GRC,Greece,Bloodstream,Acinetobacter spp.,Imipenem,1397,1347,96.420901933,Resistance_to_antibiotics_in_2022_European_Region-Bloodstream.csv
European Region,2022,IRL,Ireland,Bloodstream,Acinetobacter spp.,Imipenem,16,1,6.25,Resistance_to_antibiotics_in_2022_European_Region-Bloodstream.csv
European Region,2022,ITA,Italy,Bloodstream,Acinetobacter spp.,Imipenem,2038,1820,89.303238469,Resistance_to_antibiotics_in_2022_European_Region-Bloodstream.csv
European Region,2022,XKX,Kosovo,Bloodstream,Acinetobacter spp.,Imipenem,35,33,94.285714286,Resistance_to_antibiotics_in_2022_European_Region-Bloodstream.csv
European Region,2022,LVA,Latvia,Bloodstream,Acinetobacter spp.,Imipenem,46,32,69.565217391,Resistance_to_antibiotics_in_2022_European_Region-Bloodstream.csv
European Region,2022,LTU,Lithuania,Bloodstream,Acinetobacter spp.,Imipenem,117,109,93.162393162,Resistance_to_antibiotics_in_2022_European_Region-Bloodstream.csv
European Region,2022,LUX,Luxembourg,Bloodstream,Acinetobacter spp.,Imipenem,13,1,7.692307692,Resistance_to_antibiotics_in_2022_European_Region-Bloodstream.csv
European Region,2022,MLT,Malta,Bloodstream,Acinetobacter spp.,Imipenem,15,2,13.333333333,Resistance_to_antibiotics_in_2022_European_Region-Bloodstream.csv
European Region,2022,NLD,Netherlands (Kingdom of the),Bloodstream,Acinetobacter spp.,Imipenem,138,1,0.724637681,Resistance_to_antibiotics_in_2022_European_Region-Bloodstream.csv
European Region,2022,MKD,North Macedonia,Bloodstream,Acinetobacter spp.,Imipenem,31,31,100,Resistance_to_antibiotics_in_2022_European_Region-Bloodstream.csv
European Region,2022,POL,Poland,Bloodstream,Acinetobacter spp.,Imipenem,437,332,75.972540046,Resistance_to_antibiotics_in_2022_European_Region-Bloodstream.csv
European Region,2022,MDA,Republic of Moldova,Bloodstream,Acinetobacter spp.,Imipenem,41,37,90.243902439,Resistance_to_antibiotics_in_2022_European_Region-Bloodstream.csv
European Region,2022,RUS,Russian Federation,Bloodstream,Acinetobacter spp.,Imipenem,499,435,87.174348697,Resistance_to_antibiotics_in_2022_European_Region-Bloodstream.csv
European Region,2022,SWE,Sweden,Bloodstream,Acinetobacter spp.,Imipenem,114,4,3.50877193,Resistance_to_antibiotics_in_2022_European_Region-Bloodstream.csv
European Region,2022,CHE,Switzerland,Bloodstream,Acinetobacter spp.,Imipenem,100,9,9,Resistance_to_antibiotics_in_2022_European_Region-Bloodstream.csv
European Region,2022,TUR,T<U+00FC>rkiye,Bloodstream,Acinetobacter spp.,Imipenem,2375,2145,90.315789474,Resistance_to_antibiotics_in_2022_European_Region-Bloodstream.csv
European Region,2022,UKR,Ukraine,Bloodstream,Acinetobacter spp.,Imipenem,173,155,89.595375723,Resistance_to_antibiotics_in_2022_European_Region-Bloodstream.csv
European Region,2022,GBR,United Kingdom of Great Britain and Northern Ireland,Bloodstream,Acinetobacter spp.,Imipenem,224,3,1.339285714,Resistance_to_antibiotics_in_2022_European_Region-Bloodstream.csv
European Region,2022,AUT,Austria,Bloodstream,Acinetobacter spp.,Meropenem,95,3,3.157894737,Resistance_to_antibiotics_in_2022_European_Region-Bloodstream.csv
European Region,2022,BEL,Belgium,Bloodstream,Acinetobacter spp.,Meropenem,168,4,2.380952381,Resistance_to_antibiotics_in_2022_European_Region-Bloodstream.csv
European Region,2022,BIH,Bosnia and Herzegovina,Bloodstream,Acinetobacter spp.,Meropenem,360,355,98.611111111,Resistance_to_antibiotics_in_2022_European_Region-Bloodstream.csv
European Region,2022,HRV,Croatia,Bloodstream,Acinetobacter spp.,Meropenem,291,287,98.625429553,Resistance_to_antibiotics_in_2022_European_Region-Bloodstream.csv
European Region,2022,CYP,Cyprus,Bloodstream,Acinetobacter spp.,Meropenem,201,190,94.527363184,Resistance_to_antibiotics_in_2022_European_Region-Bloodstream.csv
European Region,2022,CZE,Czechia,Bloodstream,Acinetobacter spp.,Meropenem,85,33,38.823529412,Resistance_to_antibiotics_in_2022_European_Region-Bloodstream.csv
European Region,2022,DNK,Denmark,Bloodstream,Acinetobacter spp.,Meropenem,96,5,5.208333333,Resistance_to_antibiotics_in_2022_European_Region-Bloodstream.csv
European Region,2022,FIN,Finland,Bloodstream,Acinetobacter spp.,Meropenem,34,1,2.941176471,Resistance_to_antibiotics_in_2022_European_Region-Bloodstream.csv
European Region,2022,FRA,France,Bloodstream,Acinetobacter spp.,Meropenem,668,24,3.592814371,Resistance_to_antibiotics_in_2022_European_Region-Bloodstream.csv
European Region,2022,GEO,Georgia,Bloodstream,Acinetobacter spp.,Meropenem,209,185,88.516746411,Resistance_to_antibiotics_in_2022_European_Region-Bloodstream.csv
European Region,2022,DEU,Germany,Bloodstream,Acinetobacter spp.,Meropenem,701,24,3.423680456,Resistance_to_antibiotics_in_2022_European_Region-Bloodstream.csv
European Region,2022,GRC,Greece,Bloodstream,Acinetobacter spp.,Meropenem,1396,1328,95.128939828,Resistance_to_antibiotics_in_2022_European_Region-Bloodstream.csv
European Region,2022,IRL,Ireland,Bloodstream,Acinetobacter spp.,Meropenem,78,2,2.564102564,Resistance_to_antibiotics_in_2022_European_Region-Bloodstream.csv
European Region,2022,ITA,Italy,Bloodstream,Acinetobacter spp.,Meropenem,2666,2348,88.072018005,Resistance_to_antibiotics_in_2022_European_Region-Bloodstream.csv
European Region,2022,XKX,Kosovo,Bloodstream,Acinetobacter spp.,Meropenem,35,33,94.285714286,Resistance_to_antibiotics_in_2022_European_Region-Bloodstream.csv
European Region,2022,LTU,Lithuania,Bloodstream,Acinetobacter spp.,Meropenem,139,123,88.489208633,Resistance_to_antibiotics_in_2022_European_Region-Bloodstream.csv
European Region,2022,LUX,Luxembourg,Bloodstream,Acinetobacter spp.,Meropenem,13,0,0,Resistance_to_antibiotics_in_2022_European_Region-Bloodstream.csv
European Region,2022,MLT,Malta,Bloodstream,Acinetobacter spp.,Meropenem,15,2,13.333333333,Resistance_to_antibiotics_in_2022_European_Region-Bloodstream.csv
European Region,2022,NLD,Netherlands (Kingdom of the),Bloodstream,Acinetobacter spp.,Meropenem,194,2,1.030927835,Resistance_to_antibiotics_in_2022_European_Region-Bloodstream.csv
